Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
080323T2T3a-0230,480891.439,4450273.799,-69.2671814816,-50.099485234,159.051,155.902562774
080323T2T3a-0231,480891.492,4450277.607,-69.2671805501,-50.0994509873,159.061,155.855057018
080323T2T3a-0232,480891.181,4450281.206,-69.2671847185,-50.0994186086,159.156,155.767158816
080323T2T3a-0233,480891.079,4450283.760,-69.2671860169,-50.0993956351,159.211,155.67940556
080323T2T3a-0234,480891.058,4450284.545,-69.2671862713,-50.0993885743,159.138,155.652996134
080323T2T3a-0235,480891.060,4450284.520,-69.2671862446,-50.0993887992,159.155,155.653786317
080323T2T3a-0236,480891.086,4450284.163,-69.2671858989,-50.0993920109,159.178,155.665336484
080323T2T3a-0237,480888.897,4450284.400,-69.2672164939,-50.0993898089,159.254,155.715882361
080323T2T3a-0238,480885.057,4450284.095,-69.2672702004,-50.0993924284,159.274,155.847073203
080323T2T3a-0239,480881.197,4450283.145,-69.2673242189,-50.0994008483,159.276,155.912115908
080323T2T3a-0240,480876.917,4450282.334,-69.2673841029,-50.0994080045,159.319,155.837362696
080323T2T3a-0241,480872.588,4450281.539,-69.2674446712,-50.0994150151,159.352,155.681971646
080323T2T3a-0242,480868.578,4450281.329,-69.26750075,-50.0994167747,159.397,155.675768644
080323T2T3a-0243,480864.713,4450281.657,-69.2675547744,-50.0994137002,159.438,155.91327139
080323T2T3a-0244,480860.636,4450282.141,-69.2676117552,-50.0994092158,159.364,156.228465735
080323T2T3a-0245,480856.342,4450282.424,-69.2676717802,-50.0994065322,159.431,156.42110669
080323T2T3a-0246,480852.186,4450282.779,-69.2677298721,-50.0994032054,159.488,156.413282659
080323T2T3a-0247,480847.962,4450283.088,-69.267788917,-50.0994002901,159.393,156.371211524
080323T2T3a-0248,480843.822,4450282.136,-69.2678468507,-50.0994087187,159.529,156.383139574
080323T2T3a-0249,480839.665,4450281.177,-69.2679050224,-50.0994172096,159.586,156.423225667
080323T2T3a-0250,480835.485,4450280.262,-69.2679635135,-50.0994253041,159.445,156.510846992
080323T2T3a-0251,480831.313,4450279.281,-69.2680218961,-50.0994339924,159.516,156.629360359
080323T2T3a-0252,480827.212,4450278.540,-69.2680792739,-50.0994405244,159.581,156.776256472
080323T2T3a-0253,480823.469,4450277.172,-69.2681316777,-50.0994527071,159.599,156.847033572
080323T2T3a-0254,480819.265,4450277.006,-69.2681904669,-50.0994540643,159.579,156.784605416
080323T2T3a-0255,480815.308,4450276.525,-69.2682458183,-50.0994582625,159.549,156.563796618
080323T2T3a-0256,480811.407,4450276.345,-69.2683003716,-50.0994597553,159.614,156.321098009
080323T2T3a-0257,480807.372,4450276.115,-69.268356801,-50.0994616935,159.572,156.136540572
080323T2T3a-0258,480803.518,4450275.890,-69.2684106994,-50.0994635926,159.658,155.988828804
080323T2T3a-0259,480799.476,4450275.398,-69.2684672399,-50.0994678869,159.667,155.901592748
080323T2T3a-0260,480795.377,4450275.200,-69.2685245625,-50.0994695351,159.611,155.992393244
080323T2T3a-0261,480791.432,4450275.312,-69.2685797164,-50.0994684002,159.744,156.271743564
080323T2T3a-0262,480787.838,4450275.530,-69.2686299572,-50.0994663233,159.705,156.570568876
080323T2T3a-0263,480784.152,4450275.955,-69.2686814739,-50.0994623817,159.729,156.800722232
080323T2T3a-0264,480780.480,4450276.295,-69.2687327992,-50.099459205,159.675,156.961863571
080323T2T3a-0265,480777.431,4450276.320,-69.2687754294,-50.0994588815,159.702,157.071029863
080323T2T3a-0266,480776.534,4450276.711,-69.2687879517,-50.0994553359,159.690,157.09246728
080323T2T3a-0267,480776.495,4450276.585,-69.2687885033,-50.0994564678,159.704,157.095808737
080323T2T3a-0268,480776.507,4450276.637,-69.2687883329,-50.0994560005,159.699,157.094536079
080323T2T3a-0269,480776.199,4450276.792,-69.2687926316,-50.0994545965,159.739,157.10119258
080323T2T3a-0270,480773.005,4450276.313,-69.2688373146,-50.0994588012,159.839,157.198439983
080323T2T3a-0271,480769.173,4450276.551,-69.2688908821,-50.0994565366,159.696,157.28781158
080323T2T3a-0272,480765.307,4450276.642,-69.2689449324,-50.0994555929,159.786,157.354692325
080323T2T3a-0273,480761.332,4450276.845,-69.2690005011,-50.0994536384,159.717,157.365295964
080323T2T3a-0274,480757.210,4450276.955,-69.2690581299,-50.0994525156,159.782,157.261387465
080323T2T3a-0275,480753.524,4450276.616,-69.269109685,-50.099455445,159.758,157.102402157
080323T2T3a-0276,480749.429,4450276.270,-69.2691669593,-50.0994584242,159.863,156.975532529
080323T2T3a-0277,480745.601,4450275.608,-69.2692205162,-50.099464254,159.783,156.935378978
