Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
260223T2T5a-0175,320207.333,4502775.931,-71.4883043992,-49.6008240699,306.083,304.957329681
260223T2T5a-0176,320210.923,4502777.832,-71.4882538937,-49.6008080547,306.098,304.896295198
260223T2T5a-0177,320214.505,4502779.590,-71.4882035643,-49.6007933223,306.060,304.865633901
260223T2T5a-0178,320218.150,4502781.789,-71.488152162,-49.6007746456,306.022,304.914877497
260223T2T5a-0179,320221.833,4502783.868,-71.4881002894,-49.6007570585,306.053,305.006716909
260223T2T5a-0180,320225.566,4502785.854,-71.488047768,-49.600740322,306.147,305.165230964
260223T2T5a-0181,320229.417,4502787.834,-71.4879936179,-49.6007236744,306.088,305.164815647
260223T2T5a-0182,320233.491,4502789.460,-71.4879365466,-49.6007102743,306.063,305.043590816
260223T2T5a-0183,320237.003,4502791.693,-71.4878869679,-49.6006912524,306.031,305.017136778
260223T2T5a-0184,320240.641,4502793.804,-71.4878357029,-49.6006733643,306.068,304.984662108
260223T2T5a-0185,320244.357,4502795.886,-71.4877833728,-49.6006557599,306.031,304.939217893
260223T2T5a-0186,320248.358,4502797.660,-71.4877272432,-49.600641008,305.963,305.106172791
260223T2T5a-0187,320252.261,4502799.535,-71.4876724224,-49.6006253193,305.896,305.249308745
260223T2T5a-0188,320256.025,4502801.409,-71.487619524,-49.6006095983,305.882,305.153429411
260223T2T5a-0189,320259.704,4502802.947,-71.4875679544,-49.6005968713,305.772,305.074662222
260223T2T5a-0190,320263.550,4502805.047,-71.4875138189,-49.6005791437,305.739,304.931968132
260223T2T5a-0191,320267.211,4502806.780,-71.4874624091,-49.6005646591,305.625,304.641688378
260223T2T5a-0192,320270.974,4502808.480,-71.4874096041,-49.6005505012,305.337,304.256106806
260223T2T5a-0193,320274.590,4502810.571,-71.4873586528,-49.6005327861,305.153,303.715607144
260223T2T5a-0194,320277.707,4502811.781,-71.4873150037,-49.6005228394,304.828,303.147121227
260223T2T5a-0195,320279.763,4502813.171,-71.4872859416,-49.6005109597,304.637,302.620899353
260223T2T5a-0196,320282.794,4502814.258,-71.4872435378,-49.6005020928,304.034,301.890823809
260223T2T5a-0197,320285.084,4502815.337,-71.4872113827,-49.6004930774,303.370,301.280901668
260223T2T5a-0198,320287.088,4502816.228,-71.4871832679,-49.6004856664,302.705,300.731086821
260223T2T5a-0199,320288.981,4502817.129,-71.4871566832,-49.6004781325,302.016,300.162781745
260223T2T5a-0200,320290.561,4502817.836,-71.4871345147,-49.6004722489,301.339,299.657554462
260223T2T5a-0201,320292.608,4502818.489,-71.4871059142,-49.6004669894,300.632,298.995539026
260223T2T5a-0202,320293.458,4502819.259,-71.48709381,-49.6004603227,299.985,298.617638332
260223T2T5a-0203,320295.204,4502820.050,-71.487069308,-49.6004537336,299.340,297.947778318
260223T2T5a-0204,320296.668,4502821.211,-71.4870485358,-49.6004437358,298.745,297.273198496
260223T2T5a-0205,320297.730,4502820.988,-71.4870339546,-49.6004460554,298.286,296.965038206
260223T2T5a-0206,320299.286,4502821.623,-71.4870121509,-49.6004408117,297.519,296.331858749
260223T2T5a-0207,320300.704,4502822.470,-71.4869921583,-49.6004336218,296.781,295.700748535
260223T2T5a-0208,320302.106,4502823.452,-71.4869723251,-49.6004252141,296.035,295.040719889
260223T2T5a-0209,320303.528,4502823.829,-71.4869524922,-49.600422249,295.391,294.478782127
260223T2T5a-0210,320304.722,4502824.463,-71.486935694,-49.6004169066,294.705,293.938446394
260223T2T5a-0211,320306.052,4502824.926,-71.4869170937,-49.6004131413,294.173,293.377386743
260223T2T5a-0212,320307.069,4502825.534,-71.4869027546,-49.60040798,293.532,292.892868079
260223T2T5a-0213,320308.235,4502826.348,-71.4868862612,-49.6004010118,292.967,292.30970627
260223T2T5a-0214,320309.353,4502827.258,-71.4868703876,-49.6003931666,292.340,291.722507897
260223T2T5a-0215,320311.031,4502827.985,-71.4868468552,-49.6003871324,291.528,290.978810759
260223T2T5a-0216,320312.386,4502828.709,-71.4868277899,-49.6003810291,291.029,290.357293141
260223T2T5a-0217,320312.822,4502828.787,-71.4868217261,-49.6003804578,290.959,290.189378322
260223T2T5a-0218,320312.767,4502828.605,-71.4868225697,-49.6003820769,290.949,290.244495928
260223T2T5a-0219,320312.190,4502829.659,-71.4868300654,-49.600372434,290.869,290.235368388
260223T2T5a-0220,320313.128,4502830.633,-71.4868166512,-49.6003639602,290.198,289.71924928
260223T2T5a-0221,320315.354,4502829.458,-71.4867864119,-49.6003751806,289.520,289.172581614
260223T2T5a-0222,320316.865,4502830.693,-71.4867649561,-49.6003645317,288.732,288.409767718
260223T2T5a-0223,320318.861,4502831.859,-71.4867368262,-49.600354647,287.921,287.497076554
260223T2T5a-0224,320320.235,4502832.929,-71.48671734,-49.6003454401,287.222,286.826323765
260223T2T5a-0225,320322.049,4502833.601,-71.4866919524,-49.6003399405,286.515,286.069667547
260223T2T5a-0226,320324.016,4502834.436,-71.4866643749,-49.6003330216,285.848,285.219685262
260223T2T5a-0227,320325.856,4502835.958,-71.4866382392,-49.6003198915,284.975,284.291342053
260223T2T5a-0228,320327.848,4502836.848,-71.4866102909,-49.6003124858,284.274,283.398695163
260223T2T5a-0229,320329.853,4502837.737,-71.4865821633,-49.6003050929,283.576,282.501251189
